# t_sec x y z
1.47596 -0.0496328 0.125227 0.0387899
1.48675 -0.102625 0.210596 0.0319177
1.49755 -0.126754 0.252593 0.0351247
1.50834 -0.100182 0.208152 0.0294742
1.51914 -0.0442877 0.166155 0.0169515
1.52993 0.00534507 0.14508 0.0047342
1.54073 0.0290161 0.183412 -0.0108428
1.55153 0.0363465 0.244957 -0.0265726
1.56232 0.0386372 0.280234 -0.0345139
1.57312 0.033903 0.281609 -0.0294742
1.58391 0.0056505 0.273667 -0.0125227
1.59471 -0.0407752 0.305585 -0.00503963
1.6055 -0.0647517 0.304669 0.00641408
1.6163 -0.0522289 0.256258 0.00885754
1.62709 -0.0244346 0.206472 0.00839939
1.63789 0.000916297 0.156992 0.0047342
1.64868 0.0207694 0.124616 0.00702494
1.65948 0.0354302 0.136528 -0.00213803
1.67028 0.0488692 0.187841 -0.0125227
1.68107 0.0503963 0.233045 -0.0216857
1.69187 0.0366519 0.278707 -0.0140499
1.70266 0.0207694 0.305585 -0.00702494
1.71346 0.0166461 0.323147 -0.0155771
1.72425 0.0106901 0.36713 -0.0233656
1.73505 0.0241292 0.36041 -0.0314595
1.74584 0.0700967 0.29459 -0.0296269
1.75664 0.116064 0.21197 -0.00962112
1.76743 0.150273 0.162185 0.0216857
1.77823 0.163406 0.172875 0.0670424
1.78902 0.185397 0.154549 0.0968221
1.79982 0.212581 0.127213 0.106443
1.81062 0.234572 0.101404 0.106901
1.82141 0.244804 0.115301 0.110567
1.83221 0.237779 0.193033 0.101556
1.843 0.2277 0.294895 0.138972
1.8538 0.230143 0.404087 0.255647
1.86459 0.209221 0.537714 0.298407
1.87539 0.200822 0.619111 0.147524
1.88618 0.12706 0.49816 0.0675006
1.89698 0.139735 0.409279 0.0516181
1.90777 0.155618 0.365908 0.0413861
1.91857 0.146608 0.375682 0.0416915
1.92936 0.133932 0.41829 0.0416915
1.94016 0.138361 0.450513 0.0507018
1.95096 0.170126 0.469297 0.0568104
1.96175 0.198836 0.505032 0.0563523
1.97255 0.219606 0.555123 0.059712
1.98334 0.223882 0.585667 0.0621555
1.99414 0.204029 0.615141 0.065668
2.00493 0.220369 0.650113 0.0661261
2.01573 0.20861 0.679434 0.0673478
